contract_id,contract_version,source_sha256,cluster,wetland,start_year,end_year,start_value,end_value,absolute_change,relative_change_rate,relative_change_status,slope_per_year,slope_status,observations,direction,period,method,aggregation,spatial_units,national_change_percentile
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BBG,Mangrove,2001,2022,108.1084196927043,127.0233931691443,18.914973476439997,0.1749630003861436,computed,0.8578812032784989,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,7,1.0
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BYS,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,17,0.4
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,HX,Mangrove,2001,2022,11.571164122330718,12.532444582218899,0.9612804598881812,0.08307551856714618,computed,-0.004706478230710327,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.6
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,PRD,Mangrove,2001,2022,16.666755786986826,12.746233908861829,-3.9205218781249975,-0.23523005486083184,computed,-0.178372748310786,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.2
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,YRD,Mangrove,2001,2022,0.7397786603668813,2.3283831399165122,1.5886044795496308,2.147405115418966,computed,0.03839421638827372,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,11,0.8
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BBG,Marsh,2001,2022,302.2545141458828,385.37918601976423,83.12467187388143,0.27501548524023495,computed,2.4551986072703342,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,7,1.0
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BYS,Marsh,2001,2022,3247.1446514373824,2545.3366908578696,-701.8079605795128,-0.21613079671977356,computed,-4.01499912282526,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,17,0.2
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,HX,Marsh,2001,2022,114.60889914326359,138.97683671570553,24.367937572441946,0.21261819766701973,computed,0.6656834253754121,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.4
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,PRD,Marsh,2001,2022,184.73396008490727,264.81144920911817,80.0774891242109,0.43347465234549054,computed,3.5889231040203398,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.8
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,YRD,Marsh,2001,2022,457.7696535383024,520.513302324124,62.74364878582156,0.1370638011953138,computed,7.561841458674181,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,11,0.6
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BBG,Salt_Marsh,2001,2022,86.92175006076124,115.4086514879788,28.48690142721756,0.3277304173846506,computed,1.4579886225515077,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,7,0.6
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BYS,Salt_Marsh,2001,2022,28.93814580809975,128.13168312503248,99.19353731693273,3.427777922425444,computed,4.472929426046701,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,17,1.0
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,HX,Salt_Marsh,2001,2022,58.606833706303625,76.73021238913533,18.123378682831706,0.30923661178580947,computed,1.112475468633596,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.4
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,PRD,Salt_Marsh,2001,2022,26.66432045271523,41.23043485224031,14.566114399525077,0.5462773531152116,computed,0.8779670559655818,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.2
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,YRD,Salt_Marsh,2001,2022,47.89275038610019,81.61457486895105,33.72182448285086,0.7041112529765648,computed,1.742721643249593,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,11,0.8
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BBG,Tidal_Flat,2001,2022,238.25803446839862,190.0944388857926,-48.16359558260601,-0.2021488832058429,computed,-3.318938997905667,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,7,0.6
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,BYS,Tidal_Flat,2001,2022,1006.8914996866115,706.0783950581238,-300.81310462848774,-0.29875423987799465,computed,-15.9389989846793,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,17,0.2
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,HX,Tidal_Flat,2001,2022,246.30870890775148,216.28338437824783,-30.02532452950365,-0.12190118921352819,computed,-2.0744082511573576,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,0.8
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,PRD,Tidal_Flat,2001,2022,90.21238307688799,81.70710840173864,-8.505274675149352,-0.09428056753472867,computed,-0.6261428112930327,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,9,1.0
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,YRD,Tidal_Flat,2001,2022,217.895345877049,151.40728874480132,-66.48805713224769,-0.3051375735660029,computed,-3.095716126170184,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,annual sum across spatial units,11,0.4
