scope,entity,cluster,flag,count,detail
unit_wetland,Binzhou:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Binzhou:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Binzhou:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Cangzhou:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Cangzhou:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Cangzhou:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Dalian:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Dalian:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Dalian:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Dandong:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Dandong:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Dandong:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Dongying:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Dongying:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Dongying:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Hangzhou:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Hangzhou:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Hangzhou:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Huludao:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Huludao:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Huludao:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Jiaxing:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Jiaxing:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Jiaxing:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Jieyang:Mangrove,HX,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Jinzhou:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Jinzhou:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Jinzhou:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Lianyungang:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Lianyungang:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Lianyungang:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Nantong:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Nantong:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Nantong:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Panjin:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Panjin:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Panjin:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Qingdao:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Qingdao:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Qingdao:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Qinhuangdao:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Qinhuangdao:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Qinhuangdao:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Rizhao:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Rizhao:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Rizhao:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Shanghai_Shi:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Shanghai_Shi:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Shanghai_Shi:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Shaoxing:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Shaoxing:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Shaoxing:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Tangshan:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Tangshan:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Tangshan:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Tianjin_Shi:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Tianjin_Shi:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Tianjin_Shi:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Weifang:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Weifang:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Weifang:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Weihai:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Weihai:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Weihai:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Yancheng:Mangrove,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Yancheng:Mangrove,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Yancheng:Mangrove,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Yantai:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Yantai:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Yantai:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Yingkou:Mangrove,BYS,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Yingkou:Mangrove,BYS,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Yingkou:Mangrove,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Hangzhou:Tidal_Flat,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Hangzhou:Tidal_Flat,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Hangzhou:Tidal_Flat,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Shaoxing:Tidal_Flat,YRD,NEAR_CONSTANT_TARGET,22,one or fewer distinct values
unit_wetland,Shaoxing:Tidal_Flat,YRD,STRUCTURAL_ZERO,22,at least 95% of observations are zero
unit_wetland,Shaoxing:Tidal_Flat,YRD,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Binzhou:Salt_Marsh,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
unit_wetland,Rizhao:Salt_Marsh,BYS,RATE_UNDEFINED_ZERO_BASE,1,relative change is null because start value is zero
city_field,Beihai:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Binzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Cangzhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Chaozhou:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dalian:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dandong:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dongguan:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Dongying:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
city_field,Fangchenggang:Total_Population,,WORLDPOP_REUSED_2020,3,2020-2022 values are identical
