Outcome,Cluster,Feature,n_fold_top3
Mangrove,BBG,Cropland_sqkm,4
Mangrove,BBG,Impervious_sqkm,4
Mangrove,BBG,MODIS_Urban_Area_sqkm,3
Mangrove,BBG,Pop_Density,1
Mangrove,BBG,Temp_Mean_C,1
Mangrove,BBG,Total_Population,2
Mangrove,BYS,Cropland_sqkm,5
Mangrove,BYS,Pop_Density,5
Mangrove,BYS,Total_Population,5
Mangrove,HX,Cropland_sqkm,1
Mangrove,HX,Impervious_sqkm,4
Mangrove,HX,MODIS_Urban_Area_sqkm,4
Mangrove,HX,Pop_Density,4
Mangrove,HX,Temp_Mean_C,2
Mangrove,PRD,Cropland_sqkm,5
Mangrove,PRD,Impervious_sqkm,1
Mangrove,PRD,MODIS_Urban_Area_sqkm,5
Mangrove,PRD,Pop_Density,2
Mangrove,PRD,Total_Population,2
Mangrove,YRD,Cropland_sqkm,5
Mangrove,YRD,Impervious_sqkm,1
Mangrove,YRD,MODIS_Urban_Area_sqkm,1
Mangrove,YRD,Pop_Density,2
Mangrove,YRD,Precip_Sum_mm,1
Mangrove,YRD,Secondary_GDP_Share,1
Mangrove,YRD,Total_Population,4
Marsh,BBG,Cropland_sqkm,4
Marsh,BBG,Impervious_sqkm,2
Marsh,BBG,MODIS_Urban_Area_sqkm,5
Marsh,BBG,Precip_Sum_mm,1
Marsh,BBG,Temp_Mean_C,1
Marsh,BBG,Total_Population,2
Marsh,BYS,Impervious_sqkm,4
Marsh,BYS,MODIS_Urban_Area_sqkm,5
Marsh,BYS,Pop_Density,1
Marsh,BYS,Temp_Mean_C,2
Marsh,BYS,Total_Population,3
Marsh,HX,Cropland_sqkm,5
Marsh,HX,Impervious_sqkm,1
Marsh,HX,MODIS_Urban_Area_sqkm,4
Marsh,HX,Pop_Density,4
Marsh,HX,Secondary_GDP_Share,1
Marsh,PRD,Cropland_sqkm,4
Marsh,PRD,Evap_Sum_mm,2
Marsh,PRD,Impervious_sqkm,1
Marsh,PRD,MODIS_Urban_Area_sqkm,2
Marsh,PRD,Pop_Density,4
Marsh,PRD,Unified_NTL_Index,2
Marsh,YRD,Cropland_sqkm,4
Marsh,YRD,MODIS_Urban_Area_sqkm,3
Marsh,YRD,Pop_Density,2
Marsh,YRD,Temp_Mean_C,4
Marsh,YRD,Total_Population,2
Salt_Marsh,BBG,Cropland_sqkm,3
Salt_Marsh,BBG,Evap_Sum_mm,1
Salt_Marsh,BBG,Impervious_sqkm,1
Salt_Marsh,BBG,MODIS_Urban_Area_sqkm,3
Salt_Marsh,BBG,Pop_Density,2
Salt_Marsh,BBG,Secondary_GDP_Share,1
Salt_Marsh,BBG,Temp_Mean_C,3
Salt_Marsh,BBG,Total_Population,1
Salt_Marsh,BYS,Cropland_sqkm,1
Salt_Marsh,BYS,GDP_per_capita,3
Salt_Marsh,BYS,MODIS_Urban_Area_sqkm,3
Salt_Marsh,BYS,Pop_Density,2
Salt_Marsh,BYS,Temp_Mean_C,3
Salt_Marsh,BYS,Total_Population,3
Salt_Marsh,HX,Cropland_sqkm,5
Salt_Marsh,HX,Impervious_sqkm,1
Salt_Marsh,HX,MODIS_Urban_Area_sqkm,4
Salt_Marsh,HX,Pop_Density,3
Salt_Marsh,HX,Secondary_GDP_Share,1
Salt_Marsh,HX,Total_Population,1
Salt_Marsh,PRD,Cropland_sqkm,5
Salt_Marsh,PRD,Impervious_sqkm,1
Salt_Marsh,PRD,MODIS_Urban_Area_sqkm,4
Salt_Marsh,PRD,Pop_Density,2
Salt_Marsh,PRD,Temp_Mean_C,1
Salt_Marsh,PRD,Unified_NTL_Index,2
Salt_Marsh,YRD,Cropland_sqkm,5
Salt_Marsh,YRD,MODIS_Urban_Area_sqkm,4
Salt_Marsh,YRD,Pop_Density,1
Salt_Marsh,YRD,Secondary_GDP_Share,1
Salt_Marsh,YRD,Total_Population,4
Tidal_Flat,BBG,Cropland_sqkm,3
Tidal_Flat,BBG,Impervious_sqkm,1
Tidal_Flat,BBG,MODIS_Urban_Area_sqkm,4
Tidal_Flat,BBG,Pop_Density,2
Tidal_Flat,BBG,Temp_Mean_C,1
Tidal_Flat,BBG,Total_Population,4
Tidal_Flat,BYS,Cropland_sqkm,2
Tidal_Flat,BYS,Evap_Sum_mm,1
Tidal_Flat,BYS,MODIS_Urban_Area_sqkm,5
Tidal_Flat,BYS,Pop_Density,2
Tidal_Flat,BYS,Temp_Mean_C,2
Tidal_Flat,BYS,Total_Population,3
Tidal_Flat,HX,Cropland_sqkm,4
Tidal_Flat,HX,Evap_Sum_mm,1
Tidal_Flat,HX,MODIS_Urban_Area_sqkm,2
Tidal_Flat,HX,Pop_Density,4
Tidal_Flat,HX,Temp_Mean_C,4
Tidal_Flat,PRD,Cropland_sqkm,2
Tidal_Flat,PRD,MODIS_Urban_Area_sqkm,5
Tidal_Flat,PRD,Pop_Density,2
Tidal_Flat,PRD,Total_Population,1
Tidal_Flat,PRD,Unified_NTL_Index,5
Tidal_Flat,YRD,Cropland_sqkm,3
Tidal_Flat,YRD,Impervious_sqkm,2
Tidal_Flat,YRD,MODIS_Urban_Area_sqkm,5
Tidal_Flat,YRD,Pop_Density,4
Tidal_Flat,YRD,Total_Population,1
