"Outcome","Transformation","Estimation","N","N_cities","Instrument_Count","Instrument_Rule","AR1_stat","AR1_p","AR2_stat","AR2_p","Sargan_stat","Sargan_p","Hansen_stat","Hansen_p","Windmeijer","Lag_Coef","Lag_SE","Lag_p","Diagnostic_Status","Error"
"Mangrove","d","onestep",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-0.530090708593133,0.596049040819012,-0.970639833003781,0.331727662942779,6.79930529741476,0.00911933489467149,NA,NA,"plm robust summary; no separate correction statistic exposed",1.41706270853904,1.19254376127215,0.234727471361842,"unstable/failed",NA
"Mangrove","d","twosteps",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-0.578230762824918,0.563108332121875,-1.70791467997079,0.08765217488083,3.52480101174715,0.0604570819922207,NA,NA,"plm robust summary; no separate correction statistic exposed",0.64967739395602,1.66871316036545,0.69703324382415,"suggestive",NA
"Mangrove","ld","onestep",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.34984765618124,0.000808560174403052,-1.72622314159995,0.0843072763012145,33.9396098844599,0.00122923932422422,NA,NA,"plm robust summary; no separate correction statistic exposed",0.9501797699359,0.0289597021626337,4.18303941537171e-236,"unstable/failed",NA
"Mangrove","ld","twosteps",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.37130671301837,0.000748125156974777,-1.74675006774561,0.0806807013621697,20.0415833675682,0.0941782231128591,NA,NA,"plm robust summary; no separate correction statistic exposed",0.966070867174569,0.0358520069731241,6.34162865514728e-160,"stable/supporting",NA
"Tidal_Flat","d","onestep",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-2.93395465352185,0.00334673099722455,1.74867841655007,0.0803466229262277,2.3428514900564,0.125858981361231,NA,NA,"plm robust summary; no separate correction statistic exposed",1.06246389316113,0.096335428418754,2.7755250310583e-28,"unstable/failed",NA
"Tidal_Flat","d","twosteps",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-3.5561354422586,0.000376350106480895,1.84960351708804,0.0643707155350412,1.31413395823065,0.251647541569681,NA,NA,"plm robust summary; no separate correction statistic exposed",1.04564114143745,0.0984329450774613,2.33257291544874e-26,"unstable/failed",NA
"Tidal_Flat","ld","onestep",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.70061336237366,0.000215078969360002,1.34489157909635,0.178660250038816,34.4648051466217,0.00102253967614105,NA,NA,"plm robust summary; no separate correction statistic exposed",0.98365386746964,0.0105080807014779,0,"unstable/failed",NA
"Tidal_Flat","ld","twosteps",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.75143482630746,0.000175825460867653,1.31371049086271,0.188943649189293,25.5261902833068,0.0196682694907855,NA,NA,"plm robust summary; no separate correction statistic exposed",0.987590114602956,0.014183905552925,0,"unstable/failed",NA
"Salt_Marsh","d","onestep",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-0.555942312019731,0.578250291814216,0.215041586733242,0.829734895402909,5.54699580155138,0.0185124344966351,NA,NA,"plm robust summary; no separate correction statistic exposed",0.744807476659233,0.475947113966319,0.117607423976787,"unstable/failed",NA
"Salt_Marsh","d","twosteps",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-0.635702149099527,0.524970575393317,0.672060860519402,0.501544952127328,2.95584868980539,0.0855673711735943,NA,NA,"plm robust summary; no separate correction statistic exposed",0.457344866363083,0.847217031094781,0.589321035659851,"suggestive",NA
"Salt_Marsh","ld","onestep",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.85563685967516,0.000115428730543042,-0.278214088051429,0.78084802091974,24.4433047670111,0.0272887861664381,NA,NA,"plm robust summary; no separate correction statistic exposed",1.08911674813476,0.0366656731775001,6.81978297229349e-194,"unstable/failed",NA
"Salt_Marsh","ld","twosteps",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-3.93706456767692,8.24844186592881e-05,-0.214755895073485,0.829957641161754,17.6703875320306,0.170440349940649,NA,NA,"plm robust summary; no separate correction statistic exposed",1.10702816956966,0.0522866827085982,1.7203862783651e-99,"unstable/failed",NA
"Marsh","d","onestep",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-4.61796796351195,3.87516060370985e-06,0.386761433037572,0.69893283145062,5.96042551154768,0.014630509747283,NA,NA,"plm robust summary; no separate correction statistic exposed",1.12303703624688,0.140022888263594,1.05416912816131e-15,"unstable/failed",NA
"Marsh","d","twosteps",1060,53,13,"collapsed; lag 2:3 for lagged outcome",-4.87951692782732,1.06345995975409e-06,0.171935461868894,0.863488267165236,3.77075236804362,0.0521561677944534,NA,NA,"plm robust summary; no separate correction statistic exposed",1.13874259362939,0.167600929798675,1.0878747221836e-11,"unstable/failed",NA
"Marsh","ld","onestep",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-5.43911719555822,5.35452256586461e-08,0.627211593598738,0.530520544599638,28.2554434043287,0.00833555795595143,NA,NA,"plm robust summary; no separate correction statistic exposed",0.988329870812436,0.0293147792156128,3.55757949134354e-249,"unstable/failed",NA
"Marsh","ld","twosteps",2173,53,25,"collapsed; lag 2:3 for lagged outcome",-5.53676830268834,3.08103706251579e-08,0.486975062506004,0.626276003322116,22.5950362039007,0.0468005598699162,NA,NA,"plm robust summary; no separate correction statistic exposed",1.0134689752212,0.0342548305206713,2.2515094489644e-192,"unstable/failed",NA
