Outcome,Cluster,N_cities,N_obs,R2_within,status,within_variation
Mangrove,BBG,7,154,-4.960905081166502,estimable,0.08513745093225521
Mangrove,BYS,17,374,,failed: division by zero,0.0
Mangrove,HX,9,198,-0.4993381194645765,estimable,0.09368282377071557
Mangrove,PRD,9,198,-0.16779089594087915,estimable,0.10705789175241
Mangrove,YRD,11,242,0.0935758492772133,estimable,0.040529242090616965
Tidal_Flat,BBG,7,154,-1.8146970770732906,estimable,0.13473519446499313
Tidal_Flat,BYS,17,374,0.17471548647834767,estimable,0.14654502313274861
Tidal_Flat,HX,9,198,-0.561977629633305,estimable,0.08701504603088174
Tidal_Flat,PRD,9,198,-1.6041584772439248,estimable,0.15814737860424863
Tidal_Flat,YRD,11,242,-0.027121247299104256,estimable,0.1261618413895675
Salt_Marsh,BBG,7,154,-2.7961716924579454,estimable,0.11186830709052528
Salt_Marsh,BYS,17,374,0.1735820782439791,estimable,0.33215773285764255
Salt_Marsh,HX,9,198,0.10102606471391407,estimable,0.19365176601893405
Salt_Marsh,PRD,9,198,-0.1865456934933647,estimable,0.12833622897554497
Salt_Marsh,YRD,11,242,0.28906545388537674,estimable,0.236489419958338
Marsh,BBG,7,154,-0.5922451386296603,estimable,0.1816623348116737
Marsh,BYS,17,374,0.22840640670257883,estimable,0.21121258095973316
Marsh,HX,9,198,-0.13622444110800735,estimable,0.1776710853572026
Marsh,PRD,9,198,-0.13376456281474236,estimable,0.16986137311571584
Marsh,YRD,11,242,0.2769054821789899,estimable,0.18666025276196013
