Outcome,Specification,Variable,Coef,SE,p_value,CI_low,CI_high,R2_within,N,N_cities,Cluster,Error
Mangrove,regional_baseline,Temp_Mean_C,-0.0026575439581125004,0.049356244723113854,0.9571527779112285,-0.10042276570622645,0.09510767779000144,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Precip_Sum_mm,-4.8749865000001995e-05,3.151521363603131e-05,0.12464272968327017,-0.00011117543782975356,1.3675707829749573e-05,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Evap_Sum_mm,0.000620442589327194,0.00023212866311252806,0.008614605972278033,0.00016064038292752962,0.0010802447957268585,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,MODIS_Urban_Area_sqkm,-0.0036405932031201406,0.0020623550647166883,0.08017440033326007,-0.0077257216677447975,0.0004445352615045162,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Impervious_sqkm,-0.00015204476044678713,0.0002445049926769249,0.535273180441145,-0.000636362093778796,0.00033227257288522184,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Unified_NTL_Index,0.011233724003439161,0.005748108288686265,0.05308917323921203,-0.0001521722418724794,0.0226196202487508,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,GDP_per_capita,-7.111293928071483e-06,2.041602884704322e-06,0.0007017036449719072,-1.1155316318033298e-05,-3.067271538109667e-06,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Secondary_GDP_Share,0.010133243773316076,0.0017427074957143119,5.550740156401446e-08,0.006681275623866859,0.013585211922765295,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Total_Population,5.020490338686886e-07,2.2914428617869426e-07,0.030470558030758266,4.815830380505877e-08,9.559397639323185e-07,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Pop_Density,-0.010671946986040938,0.0031028632814678924,0.0008130205139911251,-0.01681812197298696,-0.004525771999094915,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,Cropland_sqkm,-0.0003341629165782058,6.342332164892943e-05,6.490450537022241e-07,-0.00045979231038226404,-0.00020853352277414754,-4.960905081166502,154,7,BBG,
Mangrove,regional_baseline,__model__,,,,,,,374,17,BYS,division by zero
Mangrove,regional_baseline,Temp_Mean_C,-0.018044393143862192,0.09247935411543695,0.8455527944294043,-0.20070861120099584,0.16461982491327146,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,Precip_Sum_mm,7.651941491545393e-05,6.355568674490274e-05,0.23041156313878552,-4.901508879496852e-05,0.00020205391862587637,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,Evap_Sum_mm,-0.0002735682773167928,0.0001728938245255678,0.11559565204917055,-0.0006150662858825601,6.79297312489745e-05,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,MODIS_Urban_Area_sqkm,-0.00036061361653755107,0.0008145821889225314,0.6585937661579595,-0.0019695675285325434,0.0012483402954574414,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,Impervious_sqkm,-0.0005281107670992885,0.0002507713469249116,0.03679994166142242,-0.001023431613955494,-3.278992024308288e-05,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,Unified_NTL_Index,-0.01694482827711182,0.006848369207987443,0.014414053671235827,-0.03047165292147604,-0.0034180036327476036,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,GDP_per_capita,3.495648906486798e-06,1.526968208586331e-06,0.023396030831051684,4.795978485246008e-07,6.511699964448995e-06,-0.4993381194645765,198,9,HX,
Mangrove,regional_baseline,Secondary_GDP_Share,-0.003795615027259117,0.001970825015645103,0.05592371293375753,-0.007688367240481579,9.713718596334473e-05,-0.4993381194645765,198,9,HX,
