Wetland,Wetland_Code,Cluster,Figure14_Category,Figure14_Cell_Label,Sample_N_city_year,Regional_TWFE_significant_terms_p_lt_0_10,Regional_TWFE_significant_negative_terms_p_lt_0_10,Cluster_SHAP_top3,Cluster_partial_effect_top3_by_elasticity,Wetland_GMM_lag_status,Wetland_GMM_lag_coef,Wetland_GMM_lag_p_value,Evidence_Support_Grade,Evidence_Notes
Mangrove,Mangrove,BBG,High,Multiple pressure,154.0,Secondary GDP share 0.01013 (p=5.55e-08); Cropland -0.0003342 (p=6.49e-07); GDP per capita -7.111e-06 (p=0.000702); Population density -0.01067 (p=0.000813); Evaporation 0.0006204 (p=0.00861); Total population 5.02e-07 (p=0.0305); Night-time lights 0.01123 (p=0.0531); Urban area -0.003641 (p=0.0802),Cropland -0.0003342 (p=6.49e-07); GDP per capita -7.111e-06 (p=0.000702); Population density -0.01067 (p=0.000813); Urban area -0.003641 (p=0.0802),"Cropland (Agriculture, mean|SHAP|=0.6093); Urban area (Urbanization, mean|SHAP|=0.4495); Impervious surface (Urbanization, mean|SHAP|=0.07623)","Urban area (Urbanization, elasticity=1.21, range=25.5 km2); Cropland (Agriculture, elasticity=0.748, range=15.8 km2); Total population (Population, elasticity=0.249, range=5.27 km2)",not significant / unstable,-46.3256,0.9798,moderate support,"regional TWFE has at least one significant negative association | negative TWFE group overlaps with cluster top-3 SHAP group(s): Agriculture, Urbanization | GMM persistence is not significant/unstable for this wetland"
Mangrove,Mangrove,BYS,Insufficient,Sparse distribution,374.0,none at p<0.10,none at p<0.10,"Mean temperature (Climate, mean|SHAP|=0); Precipitation (Climate, mean|SHAP|=0); Evaporation (Climate, mean|SHAP|=0)","Mean temperature (Climate, elasticity=0, range=0 km2); Precipitation (Climate, elasticity=0, range=0 km2); Evaporation (Climate, elasticity=0, range=0 km2)",not significant / unstable,-46.3256,0.9798,cautionary/interpretive,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland | original figure flags evidence/data limitation; retain as caution rather than risk estimate
Mangrove,Mangrove,HX,Medium,Cropland encroachment,198.0,Cropland -0.0007271 (p=5.4e-06); Night-time lights -0.01694 (p=0.0144); GDP per capita 3.496e-06 (p=0.0234); Impervious surface -0.0005281 (p=0.0368); Secondary GDP share -0.003796 (p=0.0559),Cropland -0.0007271 (p=5.4e-06); Night-time lights -0.01694 (p=0.0144); Impervious surface -0.0005281 (p=0.0368); Secondary GDP share -0.003796 (p=0.0559),"Population density (Population, mean|SHAP|=0.3137); Urban area (Urbanization, mean|SHAP|=0.1569); Mean temperature (Climate, mean|SHAP|=0.1376)","Population density (Population, elasticity=10.1, range=1.36 km2); Mean temperature (Climate, elasticity=5.05, range=0.68 km2); Urban area (Urbanization, elasticity=5.05, range=0.68 km2)",not significant / unstable,-46.3256,0.9798,moderate support,regional TWFE has at least one significant negative association | negative TWFE group overlaps with cluster top-3 SHAP group(s): Urbanization | GMM persistence is not significant/unstable for this wetland
Mangrove,Mangrove,PRD,Decoupling,High-urbanization residual,198.0,Cropland 0.0004084 (p=0.000685),none at p<0.10,"Cropland (Agriculture, mean|SHAP|=0.3363); Urban area (Urbanization, mean|SHAP|=0.1477); Population density (Population, mean|SHAP|=0.1322)","Cropland (Agriculture, elasticity=2.49, range=1.58 km2); Population density (Population, elasticity=1.42, range=0.9 km2); Urban area (Urbanization, elasticity=1.1, range=0.7 km2)",not significant / unstable,-46.3256,0.9798,cautionary/interpretive,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland | original figure treats weak/complex macro-variable fit as decoupling rather than low risk
Mangrove,Mangrove,YRD,Medium,Northern-edge climate,242.0,Precipitation 9.396e-05 (p=0.0419),none at p<0.10,"Cropland (Agriculture, mean|SHAP|=0.07639); Population density (Population, mean|SHAP|=0.03761); Total population (Population, mean|SHAP|=0.03166)","Cropland (Agriculture, elasticity=10.2, range=0.3 km2); Precipitation (Climate, elasticity=3.73, range=0.11 km2); Secondary GDP share (Economy, elasticity=1.36, range=0.04 km2)",not significant / unstable,-46.3256,0.9798,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Tidal Flat,Tidal_Flat,BBG,High,Reclamation + population + urbanization,154.0,none at p<0.10,none at p<0.10,"Urban area (Urbanization, mean|SHAP|=0.6498); Total population (Population, mean|SHAP|=0.1763); Cropland (Agriculture, mean|SHAP|=0.1346)","Urban area (Urbanization, elasticity=7.62, range=65.2 km2); Total population (Population, elasticity=1.22, range=10.4 km2); Cropland (Agriculture, elasticity=0.515, range=4.4 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Tidal Flat,Tidal_Flat,BYS,Medium,Population pressure,374.0,none at p<0.10,none at p<0.10,"Urban area (Urbanization, mean|SHAP|=0.6602); Total population (Population, mean|SHAP|=0.4138); Population density (Population, mean|SHAP|=0.1786)","Urban area (Urbanization, elasticity=0.967, range=127 km2); Mean temperature (Climate, elasticity=0.911, range=120 km2); Total population (Population, elasticity=0.878, range=116 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Tidal Flat,Tidal_Flat,HX,High,Multi-factor pressure,198.0,none at p<0.10,none at p<0.10,"Population density (Population, mean|SHAP|=0.6775); Mean temperature (Climate, mean|SHAP|=0.3601); Cropland (Agriculture, mean|SHAP|=0.2075)","Population density (Population, elasticity=5.46, range=52.1 km2); Mean temperature (Climate, elasticity=0.794, range=7.58 km2); Cropland (Agriculture, elasticity=0.513, range=4.9 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Tidal Flat,Tidal_Flat,PRD,Medium,Population concentration,198.0,none at p<0.10,none at p<0.10,"Night-time lights (Urbanization, mean|SHAP|=0.3333); Urban area (Urbanization, mean|SHAP|=0.2659); Cropland (Agriculture, mean|SHAP|=0.1095)","Urban area (Urbanization, elasticity=1.92, range=6.81 km2); Night-time lights (Urbanization, elasticity=1.38, range=4.89 km2); Cropland (Agriculture, elasticity=0.469, range=1.66 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
Tidal Flat,Tidal_Flat,YRD,High,Direct urban encroachment,242.0,none at p<0.10,none at p<0.10,"Urban area (Urbanization, mean|SHAP|=0.5525); Cropland (Agriculture, mean|SHAP|=0.3858); Population density (Population, mean|SHAP|=0.3581)","Cropland (Agriculture, elasticity=1.5, range=19.7 km2); Population density (Population, elasticity=0.858, range=11.3 km2); Total population (Population, elasticity=0.581, range=7.65 km2)",not available,,,weak direct quantitative support,no significant negative regional TWFE association at p<0.10 | top SHAP groups do not clearly overlap with significant negative TWFE groups | GMM persistence is not significant/unstable for this wetland
